id_candidat,candidat,code_circo,inscrits,abstentions,votants,blancs,nuls,exprimes,nom,bloc,nb_voix,elu
1015,5,101,86843,25013,61830,929,406,60495,VINCENT,DSV,197,NON
1016,6,101,86843,25013,61830,929,406,60495,MENDES,DSV,314,NON
1017,7,101,86843,25013,61830,929,406,60495,GUILLERMIN,ENS,7063,NON
1026,6,102,101874,28438,73436,1197,321,71918,NANCHI,LR,6737,NON
1033,3,103,84130,29169,54961,860,381,53720,VEILLEROT,DSV,769,NON
1035,5,103,84130,29169,54961,860,381,53720,UNAL,LR,3663,NON
1037,7,103,84130,29169,54961,860,381,53720,TONIZZO,DIV,34,NON
1038,8,103,84130,29169,54961,860,381,53720,KOUASSI,DIV,630,NON
1042,2,104,96119,28539,67580,1361,531,65688,BRESSON,DIV,17,NON
1043,3,104,96119,28539,67580,1361,531,65688,NICAUD,DIV,85,NON
1047,7,104,96119,28539,67580,1361,531,65688,BILLOUDET,LR,7179,NON
5012,2,501,60047,17531,42516,815,457,41244,BOYER,ENS,9312,DESIST
5022,2,502,54517,14801,39716,701,301,38714,FINE,ENS,10338,DESIST
1053,3,105,77900,24927,52973,978,463,51532,BOURDIN,LR,1623,NON
1055,5,105,77900,24927,52973,978,463,51532,ABAD,DVD,9651,NON
1056,6,105,77900,24927,52973,978,463,51532,DESCOURS,ENS,6036,NON
1057,7,105,77900,24927,52973,978,463,51532,PATRU,REC,429,NON
2011,1,201,72055,24968,47087,1189,429,45469,CULIOLI,UG,8654,NON
2012,2,201,72055,24968,47087,1189,429,45469,TRGUIER,REC,644,NON
2013,3,201,72055,24968,47087,1189,429,45469,BOUFFLET,DIV,316,NON
2014,4,201,72055,24968,47087,1189,429,45469,DRAGON,RN,24774,OUI
6035,5,603,91724,32712,59012,763,412,57837,PRADAL,ENS,14670,DESIST
2016,6,201,72055,24968,47087,1189,429,45469,DELAVENNE,ENS,10380,NON
12031,1,1203,72271,19095,53176,1486,799,50891,BOUIGUE,UG,14660,DESIST
2023,3,202,73165,26471,46694,716,303,45675,DUJANCOURT,UG,6511,NON
13013,3,1301,82792,28226,54566,927,327,53312,AGRESTI-ROUBACHE,ENS,12585,DESIST
2026,6,202,73165,26471,46694,716,303,45675,KACZMAREK,REC,561,NON
2031,1,203,65988,23648,42340,952,487,40901,FOURNIER,REC,11,NON
2032,2,203,65988,23648,42340,952,487,40901,CRON,DSV,1165,NON
2033,3,203,65988,23648,42340,952,487,40901,BRICOUT,DVG,15385,NON
13023,3,1302,84440,24873,59567,585,230,58752,PITOLLAT,ENS,15870,DESIST
2041,1,204,78936,30463,48473,992,400,47081,PRI,UG,9335,NON
2042,2,204,78936,30463,48473,992,400,47081,MAURICE,ENS,10448,NON
2043,3,204,78936,30463,48473,992,400,47081,BEAURAIN,RN,25913,OUI
13054,4,1305,75461,24486,50975,472,297,50206,POPELARD,UG,11706,DESIST
13068,8,1306,79685,28613,51072,757,278,50037,ROYER-PERREAUT,ENS,12575,DESIST
2051,1,205,82511,28600,53911,1029,743,52139,DESSIGNY,RN,27670,OUI
2052,2,205,82511,28600,53911,1029,743,52139,GILQUIN,LR,2665,NON
2053,3,205,82511,28600,53911,1029,743,52139,BELAØD,UG,10272,NON
2054,4,205,82511,28600,53911,1029,743,52139,ROUSSEL,ENS,10811,NON
13083,3,1308,103683,32836,70847,897,516,69434,BEDDOCK,UG,13938,DESIST
3011,1,301,88547,27288,61259,1185,974,59100,AGEZ,REC,602,NON
13108,8,1310,110764,31704,79060,1286,625,77149,BESSAIH,UG,16050,DESIST
13116,6,1311,93649,29051,64598,1111,392,63095,LAQHILA,ENS,16581,DESIST
3015,5,301,88547,27288,61259,1185,974,59100,LARZAT,ENS,8811,NON
3016,6,301,88547,27288,61259,1185,974,59100,BARDET,LR,7889,NON
3024,4,302,79877,25531,54346,1409,1056,51881,GON€ALVES,REC,511,NON
3025,5,302,79877,25531,54346,1409,1056,51881,ROUSSEAUX,DVD,3548,NON
3026,6,302,79877,25531,54346,1409,1056,51881,VANCEUNEBROCK,ENS,6524,NON
14013,3,1401,73296,19818,53478,663,397,52418,DAOUDI,RN,10458,DESIST
14046,6,1404,104874,31369,73505,1000,492,72013,MOURARET,UG,14247,DESIST
14056,6,1405,92946,25628,67318,952,453,65913,DUPONT-FEDERICI,UG,16124,DESIST
4012,2,401,61473,18194,43279,871,382,42026,RAPONI,LR,2956,NON
14062,2,1406,96333,27634,68699,1589,708,66402,GAUCHARD,UG,15376,DESIST
4014,4,401,61473,18194,43279,871,382,42026,CAMPART,REC,468,NON
4021,1,402,66671,20111,46560,1295,480,44785,REYNAUD,DVD,512,NON
15012,2,1501,62314,16947,45367,743,510,44114,RUEDA,UG,9893,DESIST
4026,6,402,66671,20111,46560,1295,480,44785,CADENEL,REC,585,NON
17032,2,1703,83726,26017,57709,1304,690,55715,ARDOUIN,ENS,15536,DESIST
